source_taxon_name,target_taxon_name
Septobasidium sinuosum,Quercus
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus phellos
Septobasidium sinuosum,Quercus gomeziana
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus gomeziana
Septobasidium sinuosum,Quercus
Septobasidium sinuosum,Quercus phellos
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus gomeziana
Septobasidium sinuosum,Quercus
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus nigra
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium sinuosum,Quercus laurifolia
Septobasidium rugulosum,Quercus
Septobasidium pseudopedicellatum,Quercus
Septobasidium pseudopedicellatum,Quercus
Septobasidium pseudopedicellatum,Quercus virginiana
Septobasidium pseudopedicellatum,Quercus laurifolia
Septobasidium pseudopedicellatum,Quercus laurifolia
Septobasidium pseudopedicellatum,Quercus nigra
Septobasidium pseudopedicellatum,Quercus coccinea
Septobasidium pseudopedicellatum,Quercus
Septobasidium pseudopedicellatum,Quercus
Septobasidium pedicellatum,Quercus coccinea
Septobasidium pedicellatum,Quercus
Septobasidium michelianum,Quercus ilex
Septobasidium mariani,Quercus phellos
Septobasidium mariani,Quercus ilex
Septobasidium mariani,Quercus ilex
Septobasidium mariani,Quercus ilex
Septobasidium mariani,Quercus phellos
Septobasidium mariani,Quercus phellos
Septobasidium mariani,Quercus gomeziana
Septobasidium mariani,Quercus nigra
Septobasidium mariani,Quercus nigra
Septobasidium langloisii,Quercus
Septobasidium langloisii,Quercus phellos
Septobasidium langloisii,Quercus nigra
Septobasidium curtisii,Quercus
Septobasidium curtisii,Quercus
Septobasidium curtisii,Quercus
Septobasidium curtisii,Quercus
Septobasidium curtisii,Quercus rubra
Septobasidium curtisii,Quercus
Septobasidium curtisii,Quercus
Septobasidium cremeum,Quercus nigra
Septobasidium cokeri,Quercus phellos
Septobasidium cokeri,Quercus phellos
Septobasidium cokeri,Quercus nigra
Septobasidium cokeri,Quercus phellos
Septobasidium cokeri,Quercus imbricaria
Septobasidium cokeri,Quercus
Septobasidium cokeri,Quercus rubra
Septobasidium cokeri,Quercus
Septobasidium cokeri,Quercus
Septobasidium cokeri,Quercus imbricaria
Septobasidium cokeri,Quercus rubra
Septobasidium cokeri,Quercus laurifolia
Septobasidium cokeri,Quercus nigra
Septobasidium cokeri,Quercus rubra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus phellos
Septobasidium castaneum,Quercus myrtifolia
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus virginiana
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus phellos
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus michauxii
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus phellos
Septobasidium castaneum,Quercus rubra
Septobasidium castaneum,Quercus myrtifolia
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus rubra
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus phellos
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus phellos
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus myrtifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus nigra
Septobasidium castaneum,Quercus myrtifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus laurifolia
Septobasidium castaneum,Quercus nigra
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus agrifolia
Septobasidium canescens,Quercus
Septobasidium canescens,Quercus agrifolia
Septobasidium burtii,Quercus ilicifolia
Septobasidium burtii,Quercus nigra
Septobasidium burtii,Quercus nigra
Septobasidium burtii,Quercus phellos
Septobasidium burtii,Quercus phellos
Septobasidium burtii,Quercus
Septobasidium burtii,Quercus imbricaria
Septobasidium burtii,Quercus palustris
Septobasidium burtii,Quercus
Septobasidium burtii,Quercus
Septobasidium burtii,Quercus palustris
Septobasidium quercinum,Quercus
Septobasidium quercinum,Quercus lanata lanata
Septobasidium quercinum,Quercus
Septobasidium,Quercus nigra
Septobasidium alni,Quercus phellos
Septobasidium alni,Quercus nigra
Septobasidium alni,Quercus
Septobasidium alni,Quercus
Septobasidium alni,Quercus phellos
Septobasidium,Quercus phellos
Septobasidium,Quercus agrifolia
Septobasidium,Quercus
Septobasidium,Quercus
Septobasidium,Quercus ilex
Septobasidium,Quercus ilex
Fibulosebacea strigosa,Quercus
Stypella grilletii,Quercus
Stypella grilletii,Quercus
Sebacina,Quercus robur
Exidiopsis opalea,Quercus
Sebacina lactescens,Quercus
Sebacina lactescens,Quercus
Sebacina incrustans,Quercus
Sebacina incrustans,Quercus alba
Helvellosebacina helvelloides,Quercus alba
Helvellosebacina helvelloides,Quercus alba
Helvellosebacina helvelloides,Quercus
Helvellosebacina helvelloides,Quercus alba
Basidiodendron eyrei,Quercus garryana
Sebacina,Quercus
Sebacina,Quercus
Scytinostroma protrusum,Quercus
Scytinostroma portentosum,Quercus gambelii
Scytinostroma portentosum,Quercus
Scytinostroma galactinum,Quercus palustris
Scytinostroma duriusculum,Quercus oblongata
Scytinostroma duriusculum,Quercus oblongata
Leptogium cellulosum,Quercus garryana
Albatrellus subrubescens,Quercus
Laetiporus persicinus,Quercus
Scutellinia subreticulata,Quercus
Scutellinia scutellata,Quercus bicolor
Scortechinia acanthostroma,Quercus nigra
Scortechinia acanthostroma,Quercus
Scortechinia acanthostroma,Quercus
Scortechinia acanthostroma,Quercus
Scorias spongiosa,Quercus rubra
Scorias spongiosa,Quercus
Scopuloides,Quercus virginiana
Scoleconectria atkinsonii,Quercus
Sclerotium pustula,Quercus
Sclerotium pustula,Quercus
Sclerotium pustula,Quercus
Sclerotium pustula,Quercus
Sclerotium,Quercus
Pilidium concavum,Quercus agrifolia
Pilidium concavum,Quercus agrifolia
Pilidium concavum,Quercus agrifolia
Pilidium concavum,Quercus agrifolia
Pilidium concavum,Quercus agrifolia
Pilidium,Quercus
Sclerotiomyces colchicus,Quercus bicolor
Sclerotiomyces colchicus,Quercus bicolor
Sclerotiomyces colchicus,Quercus bicolor
Sclerotiomyces colchicus,Quercus bicolor
Sclerotiomyces colchicus,Quercus bicolor
Sclerotiomyces colchicus,Quercus bicolor
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciboria batschiana,Quercus
Ciborinia candolleana,Quercus
Ciborinia candolleana,Quercus
Ciborinia candolleana,Quercus
Ciborinia candolleana,Quercus
Ciborinia candolleana,Quercus
Sclerophora peronella,Quercus garryana
Sclerophora amabilis,Quercus
Scleroderma reae,Quercus
Scleroderma lycoperdoides,Quercus virginiana
Scleroderma citrinum,Quercus
Schrakia crassula,Quercus robur
Schizoxylon compositum,Quercus coccinea
Schizoxylon ligustri,Quercus
Schizothyrella quercina,Quercus
Schizothyrium pomi,Quercus robur
Schizothyrium pomi,Quercus nigra
Schizothyrella quercina,Quercus rubra
Schizothyrella quercina,Quercus rubra
Schizothyrella quercina,Quercus robur
Schizothyrella quercina,Quercus
Schizothyrella quercina,Quercus rubra
Schizothyrella quercina,Quercus robur
Schizothyrella quercina,Quercus robur
Schizothyrella quercina,Quercus rubra
Sporonema hiemale,Quercus robur
Ostropella vicinella,Quercus
Ostropella montellica,Quercus pyrenaica
Ostropella montellica,Quercus pyrenaica
Ostropella montellica,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus bicolor
Schizopora paradoxa,Quercus alba
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus
Schizopora paradoxa,Quercus alba
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus rubra
Schizophyllum commune,Quercus rubra
Schizophyllum commune,Quercus palustris
Schizophyllum commune,Quercus montana
Schizophyllum commune,Quercus macrocarpa
Schizophyllum commune,Quercus garryana
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus agrifolia
Schizophyllum commune,Quercus agrifolia
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus agrifolia
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus pyrenaica
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus chrysolepis
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus agrifolia
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus rubra
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus agrifolia
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizophyllum commune,Quercus
Schizoparme straminea,Quercus rubra
Schizoparme straminea,Quercus alba
Schizoparme straminea,Quercus alba
Sarcoscypha occidentalis,Quercus
Sarcoscypha occidentalis,Quercus
Sarcopodium nigrum,Quercus
Sarcographa tricosa,Quercus
Sarcodontia pachyodon,Quercus
Helicogloea lagerheimii,Quercus
Saccoblastia ovispora,Quercus
Saccoblastia ovispora,Quercus
Saccardia quercina,Quercus virginiana
Saccardia quercina,Quercus virginiana
Saccardia quercina,Quercus virginiana
Ceramothyrium martinii,Quercus laurifolia
Rutstroemia sydowiana,Quercus robur
Rutstroemia sydowiana,Quercus rubra
Rutstroemia sydowiana,Quercus coccinea
Rutstroemia sydowiana,Quercus coccinea
Rutstroemia sydowiana,Quercus coccinea
Rutstroemia sydowiana,Quercus
Rutstroemia sydowiana,Quercus garryana
Rutstroemia petiolorum,Quercus
Ciboria peckiana,Quercus
Ciboria peckiana,Quercus
Rutstroemia firma,Quercus robur
Rutstroemia firma,Quercus
Lanzia echinophila,Quercus
Lanzia echinophila,Quercus suber
Rutstroemia,Quercus oblongata
Rutstroemia,Quercus
Rutstroemia,Quercus
Rutstroemia,Quercus
Rutstroemia,Quercus
Russula puellaris,Quercus
Russula paxilloides,Quercus
Russula parazurea,Quercus
Russula ochroleuca,Quercus
Russula nigricans,Quercus
Russula heterospora,Quercus
Russula granulata,Quercus
Russula delica,Quercus
Russula chloroides,Quercus
Russula atropurpurea bresadolae,Quercus
Russula atropurpurea bresadolae,Quercus
Russula,Quercus
Russula,Quercus
Rugonectria rugulosa,Quercus acutissima
Rugonectria castaneicola,Quercus lanata lanata
Rugonectria castaneicola,Quercus lanata lanata
Rostania,Quercus garryana
Rosellinia tienpinensis,Quercus hispanica
Rosellinia thelena,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus rubra
Rosellinia subiculata,Quercus alba
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus alba
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus virginiana
Rosellinia subiculata,Quercus nigra
Rosellinia subiculata,Quercus nigra
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia subiculata,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus garryana
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus rubra
Coniochaeta pulveracea,Quercus undulata
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus robur
Coniochaeta pulveracea,Quercus robur
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus
Coniochaeta pulveracea,Quercus coccinea
Coniochaeta pulveracea,Quercus robur
Hypoxylon mutans,Quercus gomeziana
Hypoxylon mutans,Quercus alba
Rosellinia metallica,Quercus garryana
Rosellinia mastoidea,Quercus
Rosellinia mammiformis,Quercus
Rosellinia mammiformis,Quercus
Rosellinia mammiformis,Quercus garryana
Rosellinia mammiformis,Quercus
Rosellinia,Quercus
Rosellinia glandiformis,Quercus
Rosellinia glandiformis,Quercus
Rosellinia glandiformis,Quercus
Rosellinia glandiformis,Quercus
Rosellinia glandiformis,Quercus rubra
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus rubra
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus alba
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus agrifolia
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus
Rosellinia corticium,Quercus agrifolia
Rosellinia corticium,Quercus agrifolia
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus virginiana
Rosellinia aquila,Quercus rubra
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus alba
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus robur
Rosellinia aquila,Quercus
Rosellinia aquila,Quercus
Rosellinia ambigna,Quercus rubra
Rosellinia ambigna,Quercus nigra
Hypoxylon albolanatum,Quercus lusitanica
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus
Rosellinia,Quercus nigra
Rosellinia,Quercus
Rinodina hallii,Quercus
Rigidoporus undatus,Quercus
Rhytisma tostum,Quercus
Trabutia quercina,Quercus virginiana
Trabutia erythrospora,Quercus virginiana
Rhytisma,Quercus laurifolia
Rhytisma,Quercus laurifolia
Rhytidhysteron rufulum,Quercus
Rhytidhysteron rufulum,Quercus
Rhytidhysteron rufulum,Quercus
Rhytidhysteron rufulum,Quercus
Rhytidhysteron rufulum,Quercus
Ceratostoma tinctum,Quercus
Rhynchostoma sphaerincola,Quercus macrocarpa
Ceratostoma usterianum,Quercus garryana
Rhizopogon truncatus,Quercus garryana
Rhizopogon abietis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizomorpha subcorticalis,Quercus
Rhizoctonia,Quercus
Rhizoctonia,Quercus
Haplotrichum tenerum,Quercus
Haplotrichum tenerum,Quercus nigra
Haplotrichum tenerum,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Tomentella lapida,Quercus
Rhinotrichum niveum,Quercus
Dactylaria chrysosperma,Quercus
Rhinotrichum,Quercus
Rhinotrichum,Quercus
Rhinocladium torulosum,Quercus
Rhamphoria,Quercus
Rhamphoria,Quercus
Rhabdospora cerris,Quercus pyrenaica
Rhabdospora cerris,Quercus pyrenaica
Resupinatus applicatus,Quercus hypoleucoides
Resupinatus applicatus,Quercus emoryi
Resupinatus applicatus,Quercus emoryi
Resupinatus applicatus,Quercus reticulata
Resupinatus applicatus,Quercus toumeyi
Resupinatus applicatus,Quercus hypoleucoides
Resupinatus applicatus,Quercus hypoleucoides
Resinomycena rhododendri,Quercus
Resinomycena rhododendri,Quercus
Resinomycena rhododendri,Quercus
Resinomycena rhododendri,Quercus
Ramularia crypta,Quercus falcata
Phlyctibasidium polyporoideum,Quercus alba
Ramaria stricta,Quercus
Ramaria,Quercus hypoleucoides
Ramalina chondrina,Quercus garryana
Ramalina subleptocarpha,Quercus agrifolia
Ramalina subleptocarpha,Quercus
Ramalina leptocarpha,Quercus agrifolia
Ramalina leptocarpha,Quercus
Ramalina lacera,Quercus lobata
Ramalina fraxinea,Quercus faginea
Ramalina fastigiata,Quercus faginea
Ramalina farinacea,Quercus
Ramalina farinacea,Quercus faginea
Ramalina farinacea,Quercus kelloggii
Ramalina dilacerata,Quercus garryana
Ramalina calicaris,Quercus
Basidioradulum radula,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus suber
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus garryana
Hyphodontia quercina,Quercus garryana
Hyphodontia quercina,Quercus garryana
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Hyphodontia quercina,Quercus
Phlebia tuberculata,Quercus
Phlebia tuberculata,Quercus
Phlebia tuberculata,Quercus
Phlebia tuberculata,Quercus
Irpex owensii,Quercus garryana
Irpex owensii,Quercus
Irpex owensii,Quercus garryana
Irpex owensii,Quercus garryana
Irpex owensii,Quercus kelloggii
Irpex owensii,Quercus
Basidioradulum radula,Quercus robur
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus robur
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus robur
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus garryana
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus
Basidioradulum radula,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Pirex concentricus,Quercus
Radulum,Quercus garryana
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulomyces molaris,Quercus
Radulodon copelandii,Quercus
Eutypella quaternata,Quercus
Lopadostoma dryophilum,Quercus
Phellinus everhartii,Quercus falcata
Pyrenopolyporus,Quercus
Pyrenopolyporus,Quercus
Pyrenopeziza prinicola,Quercus stellata
Pyrenopeziza prinicola,Quercus rubra
Pyrenopeziza prinicola,Quercus stellata
Pyrenopeziza prinicola,Quercus stellata
Pyrenopeziza prinicola,Quercus rubra
Pyrenopeziza prinicola,Quercus rubra
Pyrenopeziza nervicola,Quercus
Pyrenopeziza foliicola,Quercus
Pyrenopeziza foliicola,Quercus
Pyrenopeziza foliicola,Quercus
Pyrenopeziza foliicola,Quercus robur
Coniothyrium carteri,Quercus palustris
Pyrenochaeta,Quercus
Pycnoporus sanguineus,Quercus stellata
Pycnoporus cinnabarinus,Quercus macrocarpa
Pycnoporus cinnabarinus,Quercus
Pycnoporus cinnabarinus,Quercus rubra
Pycnoporus cinnabarinus,Quercus
Pycnoporus cinnabarinus,Quercus gambelii
Pycnoporus cinnabarinus,Quercus gambelii
Pycnoporus cinnabarinus,Quercus
Pycnoporus cinnabarinus,Quercus gambelii
Pycnoporus cinnabarinus,Quercus macrocarpa
Pycnoporus cinnabarinus,Quercus
Pycnoporus cinnabarinus,Quercus
Pycnopeziza quisquiliaris,Quercus
Pycnopeziza quisquiliaris,Quercus
Pycnopeziza quisquiliaris,Quercus
Pycnopeziza pachyderma,Quercus alba
Punctelia hypoleucites,Quercus
Pulchroboletus sclerotiorum,Quercus
Pulchroboletus sclerotiorum,Quercus
Pulchroboletus sclerotiorum,Quercus
Terana coerulea,Quercus
Terana coerulea,Quercus
Terana coerulea,Quercus
Terana coerulea,Quercus
Cronartium quercuum ex,Quercus virginiana
Splanchospora ampullacea,Quercus
Ascodichaena rugosa,Quercus
Ascodichaena rugosa,Quercus
Ascodichaena rugosa,Quercus
Ascodichaena rugosa,Quercus
Ascodichaena rugosa,Quercus
Ascodichaena rugosa,Quercus robur
Ascodichaena rugosa,Quercus
Psilospora,Quercus alba
Psiloglonium clavisporum,Quercus gomeziana
Psiloglonium clavisporum,Quercus alba
Psiloglonium clavisporum,Quercus rubra
Pseudovalsaria ferruginea,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus ilex
Pseudovalsa umbonata,Quercus pyrenaica
Pseudovalsa umbonata,Quercus robur
Pseudovalsa umbonata,Quercus pyrenaica
Pseudovalsa umbonata,Quercus alba
Pseudovalsa umbonata,Quercus rubra
Pseudovalsa umbonata,Quercus robur
Pseudovalsa umbonata,Quercus ilex
Pseudovalsa umbonata,Quercus robur robur
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus gomeziana
Pseudovalsa umbonata,Quercus gomeziana
Pseudovalsa umbonata,Quercus alba
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus gomeziana
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus rubra
Pseudovalsa umbonata,Quercus
Pseudovalsa umbonata,Quercus rubra
Thyridaria subrufa,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus virginiana
Melanconis sigmoidea,Quercus virginiana
Melanconis sigmoidea,Quercus rubra
Melanconis sigmoidea,Quercus rubra
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus coccinea
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus alba
Melanconis sigmoidea,Quercus coccinea
